,Year,New York City,Los Angeles,Chicago,Tampa,Washington D.C.,U.S. Average
0,2010,21.3,31.300000000000004,23.1,24.6,12.3,15.1
1,2011,20.5,30.1,21.5,22.7,11.1,15.0
2,2012,20.1,29.5,20.9,22.8,10.6,15.0
3,2013,20.0,29.8,20.5,21.8,10.0,14.8
4,2014,19.700000000000003,29.5,20.200000000000003,21.1,9.4,14.8
5,2015,19.6,29.5,20.1,20.9,9.4,13.5
6,2016,18.9,28.4,19.2,21.1,9.4,12.7
7,2017,17.9,26.7,17.8,20.7,8.6,12.3
