,index,year,crime_type,value,variable
0,26,2014,Violent crime,884.2852428361296,rate
1,169,2015,Violent crime,903.8386481449924,rate
2,183,2016,Violent crime,1105.4792152954346,rate
3,232,2017,Violent crime,1098.8588673812555,rate
